Site,Date,Time,Time_In_Raven,Num_ind_knocks,Num_knock_trains,Num_in_KT,Tot_Knocks,Num_L_calls,L_call_type,Num_Herbivory,Comment
40,27_06_18,9:02:30,0:02:30,2,2,4,6,0,,,
40,27_06_18,9:02:40,0:02:40,0,0,0,0,0,,,
40,27_06_18,9:02:50,0:02:50,0,0,0,0,0,,,
40,27_06_18,9:03:00,0:03:00,0,0,0,0,0,,,
40,27_06_18,9:03:10,0:03:10,0,0,0,0,1,Grunt,,
40,27_06_18,9:03:20,0:03:20,0,0,0,0,0,,,
40,27_06_18,9:03:30,0:03:30,0,3,10,10,0,,,
40,27_06_18,9:03:40,0:03:40,1,0,0,1,0,,,
40,27_06_18,9:03:50,0:03:50,0,1,3,3,0,,,
40,27_06_18,9:04:00,0:04:00,0,0,0,0,5,Grunt,,
40,27_06_18,9:04:10,0:04:10,0,0,0,0,0,,,
40,27_06_18,9:04:20,0:04:20,1,0,0,1,0,,,
40,27_06_18,9:04:30,0:04:30,0,0,0,0,0,,,
40,27_06_18,9:04:40,0:04:40,0,0,0,0,2,"1 Squeak, 1 Grunt",,
40,27_06_18,9:04:50,0:04:50,0,1,4,4,0,,,
40,27_06_18,15:00:00,0:00:00,1,0,0,1,0,,,
40,27_06_18,15:00:10,0:00:10,0,2,7,7,0,,,
40,27_06_18,15:00:20,0:00:20,0,0,0,0,0,,,
40,27_06_18,15:00:30,0:00:30,1,0,0,1,0,,,
40,27_06_18,15:00:40,0:00:40,0,0,0,0,0,,,
40,27_06_18,15:00:50,0:00:50,1,0,0,1,0,,,
40,27_06_18,15:01:00,0:01:00,1,0,0,1,0,,,
40,27_06_18,15:01:10,0:01:10,0,0,0,0,0,,,
40,27_06_18,15:01:20,0:01:20,0,0,0,0,0,,,
40,27_06_18,15:01:30,0:01:30,0,0,0,0,0,,,4 Bumps
40,27_06_18,15:01:40,0:01:40,0,0,0,0,0,,,
40,27_06_18,15:01:50,0:01:50,0,0,0,0,0,,,
40,27_06_18,15:02:00,0:02:00,0,0,0,0,0,,,
40,27_06_18,15:02:10,0:02:10,0,0,0,0,0,,,7 Bumps
40,27_06_18,15:02:20,0:02:20,0,1,2,2,0,,,
40,27_06_18,15:02:30,0:02:30,0,0,0,0,0,,,
40,27_06_18,15:02:40,0:02:40,0,0,0,0,0,,,
40,27_06_18,15:02:50,0:02:50,0,0,0,0,0,,,
40,27_06_18,15:03:00,0:03:00,0,0,0,0,0,,,
40,27_06_18,15:03:10,0:03:10,0,0,0,0,0,,,
40,27_06_18,15:03:20,0:03:20,0,0,0,0,0,,,
40,27_06_18,15:03:30,0:03:30,2,0,0,2,0,,,
40,27_06_18,15:03:40,0:03:40,5,0,0,5,2,Grunt,,
40,27_06_18,15:03:50,0:03:50,2,1,3,5,0,,,
40,27_06_18,15:04:00,0:04:00,0,0,0,0,0,,,
40,27_06_18,15:04:10,0:04:10,0,0,0,0,0,,,
40,27_06_18,15:04:20,0:04:20,0,0,0,0,0,,,
40,27_06_18,15:04:30,0:04:30,0,0,0,0,0,,,
40,27_06_18,15:04:40,0:04:40,0,0,0,0,0,,,
40,27_06_18,15:04:50,0:04:50,0,0,0,0,0,,,
40,27_06_18,21:00:00,0:00:00,0,2,4,4,0,,,
40,27_06_18,21:00:10,0:00:10,0,0,0,0,0,,,
40,27_06_18,21:00:20,0:00:20,0,2,4,4,0,,,
40,27_06_18,21:00:30,0:00:30,1,0,0,1,0,,,
40,27_06_18,21:00:40,0:00:40,0,0,0,0,3,Squeak,1,
40,27_06_18,21:00:50,0:00:50,0,0,0,0,0,,,
40,27_06_18,21:01:00,0:01:00,0,0,0,0,0,,1,
40,27_06_18,21:01:10,0:01:10,0,0,0,0,0,,,
40,27_06_18,21:01:20,0:01:20,0,0,0,0,0,,,
40,27_06_18,21:01:30,0:01:30,0,1,3,3,0,,,
40,27_06_18,21:01:40,0:01:40,0,0,0,0,1,Buzz,,
40,27_06_18,21:01:50,0:01:50,0,0,0,0,0,,,
40,27_06_18,21:02:00,0:02:00,0,0,0,0,0,,,
40,27_06_18,21:02:10,0:02:10,0,0,0,0,0,,,
40,27_06_18,21:02:20,0:02:20,0,0,0,0,0,,2,
40,27_06_18,21:02:30,0:02:30,0,0,0,0,2,Grunt,1,
40,27_06_18,21:02:40,0:02:40,0,0,0,0,0,,,
40,27_06_18,21:02:50,0:02:50,0,0,0,0,2,Squeak,,
40,27_06_18,21:03:00,0:03:00,0,1,2,2,1,Squeak,,
40,27_06_18,21:03:10,0:03:10,0,0,0,0,0,,,
40,27_06_18,21:03:20,0:03:20,0,0,0,0,0,,,
40,27_06_18,21:03:30,0:03:30,0,0,0,0,0,,,
40,27_06_18,21:03:40,0:03:40,0,0,0,0,0,,,
40,27_06_18,21:03:50,0:03:50,0,0,0,0,0,,,
40,27_06_18,21:04:00,0:04:00,0,0,0,0,0,,,
40,27_06_18,21:04:10,0:04:10,0,1,2,2,4,Buzz,,
40,27_06_18,21:04:20,0:04:20,0,0,0,0,2,Buzz,,
40,27_06_18,21:04:30,0:04:30,0,1,2,2,0,,,
40,27_06_18,21:04:40,0:04:40,0,0,0,0,0,,,
40,27_06_18,21:04:50,0:04:50,0,0,0,0,0,,,
40,12_07_17,3:00:00,0:00:00,0,0,0,0,0,,,
40,12_07_17,3:00:10,0:00:10,0,1,2,2,1,Buzz,,
40,12_07_17,3:00:20,0:00:20,0,0,0,0,1,Buzz,,
40,12_07_17,3:00:30,0:00:30,1,0,0,1,0,,,
40,12_07_17,3:00:40,0:00:40,0,1,12,12,0,,,
40,12_07_17,3:00:50,0:00:50,1,0,0,1,0,,,
40,12_07_17,3:01:00,0:01:00,2,0,0,2,0,,,
40,12_07_17,3:01:10,0:01:10,2,2,8,10,0,,,
40,12_07_17,3:01:20,0:01:20,1,1,4,5,0,,,
40,12_07_17,3:01:30,0:01:30,0,0,0,0,0,,,
40,12_07_17,3:01:40,0:01:40,0,0,0,0,1,Buzz,,
40,12_07_17,3:01:50,0:01:50,0,1,3,3,0,,,
40,12_07_17,3:02:00,0:02:00,0,1,10,10,0,,,
40,12_07_17,3:02:10,0:02:10,0,5,22,22,0,,,
40,12_07_17,3:02:20,0:02:20,0,0,0,0,0,,,
40,12_07_17,3:02:30,0:02:30,0,2,10,10,0,,,
40,12_07_17,3:02:40,0:02:40,2,0,0,2,0,,,
40,12_07_17,3:02:50,0:02:50,0,2,5,5,0,,,
40,12_07_17,3:03:00,0:03:00,1,2,6,7,0,,,
40,12_07_17,3:03:10,0:03:10,0,3,8,8,0,,,
40,12_07_17,3:03:20,0:03:20,0,2,4,4,0,,,
40,12_07_17,3:03:30,0:03:30,0,1,3,3,0,,,
40,12_07_17,3:03:40,0:03:40,1,0,0,1,0,,,
40,12_07_17,3:03:50,0:03:50,6,1,2,8,0,,,
40,12_07_17,3:04:00,0:04:00,0,2,8,8,0,,,
40,12_07_17,3:04:10,0:04:10,0,1,15,15,0,,,
40,12_07_17,3:04:20,0:04:20,2,0,0,2,0,,,
40,12_07_17,3:04:30,0:04:30,1,0,0,1,0,,,
40,12_07_17,3:04:40,0:04:40,0,0,0,0,0,,,
40,12_07_17,3:04:50,0:04:50,1,1,3,4,0,,,
40,12_07_17,9:00:00,0:00:00,0,0,0,0,0,,,
40,12_07_17,9:00:10,0:00:10,2,0,0,2,0,,,
40,12_07_17,9:00:20,0:00:20,2,1,2,4,0,,,
40,12_07_17,9:00:30,0:00:30,4,0,0,4,0,,,
40,12_07_17,9:00:40,0:00:40,1,1,3,4,0,,,
40,12_07_17,9:00:50,0:00:50,4,1,4,8,0,,,
40,12_07_17,9:01:00,0:01:00,0,1,3,3,0,,,
40,12_07_17,9:01:10,0:01:10,1,0,0,1,0,,,"Boat, far away"
40,12_07_17,9:01:20,0:01:20,1,1,3,4,0,,,"Boat, far away"
40,12_07_17,9:01:30,0:01:30,1,0,0,1,0,,,"Boat, far away"
