File,Snaps
1677987850.170707032002.wav,1495
1677987850.170707033002.wav,1417
1677987850.170707034002.wav,1562
1677987850.170707035002.wav,1514
1677987850.170707040002.wav,1465
1677987850.170707041002.wav,1497
1677987850.170707042002.wav,1448
1677987850.170707043002.wav,1476
1677987850.170707044002.wav,1453
1677987850.170707045002.wav,1490
1677987850.170707050002.wav,1451
1677987850.170707051002.wav,1480
1677987850.170707052002.wav,1429
1677987850.170707053002.wav,1441
1677987850.170707054002.wav,1512
1677987850.170707055002.wav,1528
1677987850.170707060002.wav,1546
1677987850.170707061002.wav,1455
1677987850.170707062002.wav,1432
1677987850.170707063002.wav,1459
1677987850.170707064002.wav,1531
1677987850.170707065002.wav,1466
1677987850.170707070002.wav,1488
1677987850.170707071002.wav,1515
1677987850.170707072002.wav,1495
1677987850.170707073002.wav,1490
1677987850.170707074002.wav,1448
1677987850.170707075002.wav,1473
1677987850.170707080002.wav,1462
1677987850.170707081002.wav,1498
1677987850.170707082002.wav,1459
1677987850.170707083002.wav,1410
1677987850.170707084002.wav,1515
1677987850.170707085002.wav,1536
1677987850.170707090002.wav,1539
1677987850.170707091002.wav,1505
1677987850.170707092002.wav,1495
1677987850.170707093002.wav,1493
1677987850.170707094002.wav,1464
1677987850.170707095002.wav,1449
1677987850.170707100002.wav,1407
1677987850.170707101002.wav,1424
1677987850.170707102002.wav,1407
1677987850.170707103002.wav,1437
1677987850.170707104002.wav,1476
1677987850.170707105002.wav,1466
1677987850.170707110002.wav,1417
1677987850.170707111002.wav,1449
1677987850.170707112002.wav,1398
1677987850.170707113002.wav,1399
1677987850.170707114002.wav,1425
1677987850.170707115002.wav,1404
1677987850.170707120002.wav,1468
1677987850.170707121002.wav,1425
1677987850.170707122002.wav,1475
1677987850.170707123002.wav,1420
1677987850.170707124002.wav,1424
1677987850.170707125002.wav,1404
1677987850.170707130002.wav,1497
1677987850.170707131002.wav,1411
1677987850.170707132002.wav,1396
1677987850.170707133002.wav,1460
1677987850.170707134002.wav,1391
1677987850.170707135002.wav,1378
1677987850.170707140002.wav,1421
1677987850.170707141002.wav,1436
1677987850.170707142002.wav,1409
1677987850.170707143002.wav,1448
1677987850.170707144002.wav,1399
1677987850.170707145002.wav,1405
1677987850.170707150002.wav,1408
1677987850.170707151002.wav,1421
1677987850.170707152002.wav,1412
1677987850.170707153002.wav,1440
1677987850.170707154002.wav,1445
1677987850.170707155002.wav,1448
1677987850.170707160002.wav,1477
1677987850.170707161002.wav,1420
1677987850.170707162002.wav,1436
1677987850.170707163002.wav,1388
1677987850.170707164002.wav,1430
1677987850.170707165002.wav,1373
1677987850.170707170002.wav,1402
1677987850.170707171002.wav,1525
1677987850.170707172002.wav,1454
1677987850.170707173002.wav,1466
1677987850.170707174002.wav,1407
1677987850.170707175002.wav,1398
1677987850.170707180002.wav,1450
1677987850.170707181002.wav,1443
1677987850.170707182002.wav,1488
1677987850.170707183002.wav,1407
1677987850.170707184003.wav,1360
1677987850.170707185002.wav,1362
1677987850.170707190002.wav,1359
1677987850.170707191002.wav,1417
1677987850.170707192002.wav,1477
1677987850.170707193002.wav,1448
1677987850.170707194002.wav,1392
1677987850.170707195002.wav,1375
1677987850.170707200002.wav,1393
1677987850.170707201002.wav,1376
1677987850.170707202002.wav,1349
1677987850.170707203002.wav,1407
1677987850.170707204002.wav,1442
1677987850.170707205002.wav,1424
1677987850.170707210002.wav,1381
1677987850.170707211002.wav,1413
1677987850.170707212002.wav,1458
1677987850.170707213002.wav,1467
1677987850.170707214002.wav,1482
1677987850.170707215002.wav,1464
1677987850.170707220002.wav,1496
1677987850.170707221002.wav,1495
1677987850.170707222002.wav,1546
1677987850.170707223002.wav,1525
1677987850.170707224002.wav,1468
1677987850.170707225002.wav,1499
1677987850.170707230002.wav,1508
1677987850.170707231002.wav,1472
1677987850.170707232002.wav,1480
1677987850.170707233002.wav,1469
1677987850.170707234002.wav,1453
1677987850.170707235002.wav,1470
1677987850.170708000002.wav,1432
1677987850.170708001002.wav,1464
1677987850.170708002002.wav,1441
1677987850.170708003002.wav,1443
1677987850.170708004002.wav,1489
1677987850.170708005002.wav,1481
1677987850.170708010002.wav,1488
1677987850.170708011002.wav,1499
1677987850.170708012002.wav,1458
1677987850.170708013002.wav,1510
1677987850.170708014002.wav,1499
1677987850.170708015002.wav,1525
1677987850.170708020002.wav,1485
1677987850.170708021002.wav,1472
1677987850.170708022002.wav,1520
1677987850.170708023002.wav,1473
1677987850.170708024002.wav,1433
1677987850.170708025002.wav,1464
1677987850.170708030002.wav,1471
1677987850.170708031002.wav,1488
1677987850.170708032002.wav,1501
1677987850.170708033002.wav,1477
1677987850.170708034002.wav,1481
1677987850.170708035002.wav,1546
1677987850.170708040002.wav,1452
1677987850.170708041002.wav,1495
1677987850.170708042002.wav,1509
1677987850.170708043002.wav,1467
1677987850.170708044002.wav,1424
1677987850.170708045002.wav,1484
1677987850.170708050002.wav,1449
1677987850.170708051002.wav,1522
1677987850.170708052002.wav,1493
1677987850.170708053002.wav,1458
1677987850.170708054002.wav,1523
1677987850.170708055002.wav,1459
1677987850.170708060002.wav,1527
1677987850.170708061002.wav,1469
1677987850.170708062002.wav,1478
1677987850.170708063002.wav,1515
1677987850.170708064002.wav,1410
1677987850.170708065002.wav,1500
1677987850.170708070002.wav,1423
1677987850.170708071002.wav,1469
1677987850.170708072002.wav,1435
1677987850.170708073002.wav,1502
1677987850.170708074002.wav,1496
1677987850.170708075002.wav,1438
1677987850.170708080002.wav,1420
1677987850.170708081002.wav,1487
1677987850.170708082002.wav,1494
1677987850.170708083002.wav,1519
1677987850.170708084002.wav,1436
1677987850.170708085002.wav,1519
1677987850.170708090002.wav,1543
1677987850.170708091002.wav,1510
1677987850.170708092002.wav,1428
1677987850.170708093002.wav,1429
1677987850.170708094002.wav,1426
1677987850.170708095002.wav,1486
1677987850.170708100002.wav,1443
1677987850.170708101002.wav,1423
1677987850.170708102002.wav,1419
1677987850.170708103002.wav,1420
1677987850.170708104002.wav,1411
1677987850.170708105002.wav,1447
1677987850.170708110002.wav,1422
1677987850.170708111002.wav,1410
1677987850.170708112002.wav,1428
1677987850.170708113002.wav,1386
1677987850.170708114002.wav,1448
1677987850.170708115002.wav,1467
1677987850.170708120002.wav,1443
1677987850.170708121002.wav,1373
1677987850.170708122002.wav,1388
1677987850.170708123002.wav,1445
1677987850.170708124002.wav,1333
1677987850.170708125002.wav,1501
1677987850.170708130002.wav,1439
1677987850.170708131002.wav,1433
1677987850.170708132002.wav,1467
1677987850.170708133002.wav,1465
1677987850.170708134002.wav,1402
1677987850.170708135002.wav,1396
1677987850.170708140002.wav,1459
1677987850.170708141002.wav,1390
1677987850.170708142002.wav,1464
1677987850.170708143002.wav,1454
1677987850.170708144002.wav,1445
1677987850.170708145002.wav,1450
1677987850.170708150002.wav,1400
1677987850.170708151002.wav,1406
1677987850.170708152002.wav,1416
1677987850.170708153002.wav,1420
1677987850.170708154002.wav,1339
1677987850.170708155002.wav,1443
1677987850.170708160002.wav,1416
1677987850.170708161002.wav,1404
1677987850.170708162002.wav,1370
1677987850.170708163002.wav,1431
1677987850.170708164002.wav,1425
1677987850.170708165002.wav,1373
1677987850.170708170002.wav,1369
1677987850.170708171002.wav,1430
1677987850.170708172002.wav,1391
1677987850.170708173002.wav,1379
1677987850.170708174002.wav,1371
1677987850.170708175002.wav,1454
1677987850.170708180002.wav,1404
1677987850.170708181002.wav,1440
1677987850.170708182002.wav,1407
1677987850.170708183002.wav,1334
1677987850.170708184002.wav,1346
1677987850.170708185002.wav,1367
1677987850.170708190002.wav,1365
1677987850.170708191002.wav,1401
1677987850.170708192002.wav,1440
1677987850.170708193002.wav,1370
1677987850.170708194002.wav,1354
1677987850.170708195002.wav,1359
1677987850.170708200002.wav,1394
1677987850.170708201002.wav,1384
1677987850.170708202002.wav,1399
1677987850.170708203002.wav,1403
1677987850.170708204002.wav,1381
1677987850.170708205002.wav,1461
1677987850.170708210002.wav,1382
