,CREDSpecies,CoarseFG,FineFG,Classifier,Date Classified,Reference,Notes
Chaetodontidae,Chaetodon punctatofasciatus,Carnivore,Corallivore,MD,04/07/2013,Reese,
Chaetodontidae,Chaetodon quadrimaculatus,Carnivore,Corallivore,MD,04/07/2013,Randall,
Chaetodontidae,Chaetodon rafflesii,Carnivore,Corallivore,MD,04/07/2013,Randall,Also feeds on benthic inverts
Chaetodontidae,Chaetodon reticulatus,Carnivore,Corallivore,MD,04/07/2013,Randall,Also feeds on algae
Chaetodontidae,Chaetodon semeion,Carnivore,Corallivore,MD,04/07/2013,Pratchett 2005,Also feeds on benthic inverts
Chaetodontidae,Chaetodon trifascialis,Carnivore,Corallivore,MD,04/07/2013,Randall,Also feeds on algae
Chaetodontidae,Chaetodon ulietensis,Carnivore,Invertivore,MD,04/07/2013,Randall,Also feeds on algae
Chaetodontidae,Chaetodon unimaculatus,Carnivore,Corallivore,MD,04/07/2013,Pratchett 2005,
Chaetodontidae,Chaetodon vagabundus,Carnivore,Corallivore,MD,04/07/2013,Pratchett 2005,Also feeds on benthic inverts
Chaetodontidae,Chaetodontidae sp,Carnivore,Corallivore,MD,04/07/2013,,
Chaetodontidae,Forcipiger flavissimus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Chaetodontidae,Forcipiger longirostris,Carnivore,Invertivore,MD,04/07/2013,Randall,
Chaetodontidae,Hemitaurichthys polylepis,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Chaetodontidae,Hemitaurichthys thompsoni,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Chaetodontidae,Heniochus acuminatus,Planktivore/Carnivore,Diurnal planktivore/invertivore,MD,04/07/2013,Randall,
Chaetodontidae,Heniochus chrysostomus,Carnivore,Corallivore,MD,04/07/2013,Randall,
Chaetodontidae,Heniochus diphreutes,Planktivore,Diurnal planktivore,MD,04/07/2013,Boland and Parrish,
Chaetodontidae,Heniochus monoceros,Carnivore,Invertivore,MD,04/07/2013,FishBase,
Chaetodontidae,Heniochus singularius,Carnivore,Corallivore,MD,04/07/2013,Randall,"Also feeds on algae, benthic inverts"
Chaetodontidae,Heniochus varius,Carnivore,Corallivore,MD,04/07/2013,Randall,Also feeds on benthic inverts
Chanidae,Chanos chanos,Herbivore/Planktivore,Cropper/Diurnal planktivore,MD,02/07/2013,Randall,
Cheilodactylidae,Goniistius vittatus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Cirrhitidae,Amblycirrhitus bimacula,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Cirrhitidae,Cirrhitichthys falco,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Cirrhitidae,Cirrhitichthys oxycephalus,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Cirrhitidae,Cirrhitidae sp,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Cirrhitidae,Cirrhitops fasciatus,Carnivore,Invertivore,MD,04/07/2013,Longenecker,
Cirrhitidae,Cirrhitops hubbardi,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Cirrhitidae,Cirrhitus pinnulatus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Cirrhitidae,Neocirrhites armatus,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Cirrhitidae,Oxycirrhites typus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Cirrhitidae,Paracirrhites arcatus,Carnivore,Generalist carnivore,MD,04/07/2013,Randall,Consumes both fish and invertebrates
Cirrhitidae,Paracirrhites forsteri,Carnivore,Generalist carnivore,MD,04/07/2013,Randall,
Cirrhitidae,Paracirrhites hemistictus,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Cirrhitidae,Paracirrhites xanthus,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Clupeidae,Spratelloides delicatulus,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Congridae,Congridae sp,NA,NA,MD,04/07/2013,,Cannot classify â€“ variation in the family
Dasyatidae,Dasyatidae sp,Carnivore,Invertivore,MD,04/07/2013,Randall,
Dasyatidae,Taeniura meyeni,Carnivore,Invertivore,MD,04/07/2013,Randall,
Diodontidae,Diodon holocanthus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Diodontidae,Diodon hystrix,Carnivore,Invertivore,MD,04/07/2013,Randall,
Engraulidae,Encrasicholina purpurea,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Ephippidae,Platax orbicularis,Omnivore,Benthic omnivore,MD,04/07/2013,Randall,"Algae, benthic inverts, fish"
Fistulariidae,Fistularia commersonii,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Ginglymostomatidae,Nebrius ferrugineus,Carnivore,Nocturnal piscivore,MD,04/07/2013,Randall,
Gobiidae,Amblyeleotris fasciata,Planktivore,Diurnal planktivore,MD,08/07/2013,SaltCorner,May not be reliable â€“ aquarium website
Gobiidae,Amblyeleotris sp,Planktivore,Diurnal planktivore,MD,08/07/2013,SaltCorner,May not be reliable â€“ aquarium website
Gobiidae,Amblygobius phalaena,Omnivore,Benthic omnivore,MD,04/07/2013,Hernaman et al 2009,
Gobiidae,Asterropteryx striata,Planktivore,Diurnal planktivore,MD,08/07/2013,FishBase,
Gobiidae,Eviota albolineata,Planktivore,Diurnal planktivore,MD,08/07/2013,SaltCorner,May not be reliable â€“ aquarium website
Gobiidae,Eviota guttata,Planktivore,Diurnal planktivore,MD,08/07/2013,SaltCorner,May not be reliable â€“ aquarium website
Gobiidae,Eviota sp,Planktivore,Diurnal planktivore,MD,08/07/2013,SaltCorner,May not be reliable â€“ aquarium website
Gobiidae,Fusigobius duospilus,Planktivore,Diurnal planktivore,MD,08/07/2013,SaltCorner,May not be reliable â€“ aquarium website
Gobiidae,Fusigobius neophytus,Planktivore,Diurnal planktivore,MD,08/07/2013,SaltCorner,May not be reliable â€“ aquarium website
Gobiidae,Gobiidae sp,NA,NA,MD,08/07/2013,,Cannot classify further â€“ variation in the family
Gobiidae,Gobiodon citrinus,Carnivore,Invertivore,MD,08/07/2013,SaltCorner,"Feeds on coral polyps, benthic inverts; may not be reliable â€“ aquarium website"
Gobiidae,Istigobius decoratus,Carnivore,Invertivore,MD,08/07/2013,ReefKeeping,May not be reliable â€“ aquarium website
Gobiidae,Istigobius sp,Carnivore,Invertivore,MD,08/07/2013,ReefKeeping,Feeds on benthic microinvertebrates; may not be reliable â€“ aquarium website
Gobiidae,Paragobiodon echinocephalus,Carnivore,Invertivore,MD,08/07/2013,SaltCorner,Feeds on benthic microinvertebrates; may not be reliable â€“ aquarium website
Gobiidae,Psilogobius mainlandi,NA,NA,MD,08/07/2013,,No dietary data found
Gobiidae,Trimma caesiura,Planktivore,Diurnal planktivore,MD,08/07/2013,SaltCorner,May not be reliable â€“ aquarium website
Gobiidae,Valenciennea strigata,Carnivore,Invertivore,MD,08/07/2013,FishBase,
Haemulidae,Plectorhinchus picus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Haemulidae,Plectorhinchus vittatus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Hemiramphidae,Hemiramphidae sp,Omnivore,Pelagic omnivore,MD,04/07/2013,Randall 2004,"Consume algae, zooplankton, small fishes"
Holocentridae,Holocentridae sp,NA,NA,MD,04/07/2013,,Cannot classify â€“ variation in the family
Holocentridae,Myripristis adusta,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Myripristis amaena,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Myripristis chryseres,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Myripristis earlei,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Myripristis kuntee,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Myripristis murdjan,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Myripristis violacea,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Myripristis vittata,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Myripristis woodsi,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Neoniphon argenteus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Holocentridae,Neoniphon opercularis,Carnivore,Invertivore,MD,04/07/2013,Randall,
Holocentridae,Neoniphon sammara,Carnivore,Invertivore,MD,04/07/2013,Randall,
Holocentridae,Neoniphon sp,Carnivore,Invertivore,MD,04/07/2013,,
Holocentridae,Pristilepis oligolepis,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Holocentridae,Sargocentron caudimaculatum,Carnivore,Invertivore,MD,04/07/2013,Randall,
Holocentridae,Sargocentron diadema,Carnivore,Invertivore,MD,04/07/2013,Randall,
